freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.915e+02,1.749e+01,1.095e+01,5.200e+02
1.6,2.983e+02,2.518e+01,2.225e+01,3.457e+02
3.1,4.755e+01,2.312e+01,2.011e+01,9.078e+01
4.7,3.960e+02,2.436e+01,1.874e+01,4.392e+02
6.3,1.189e+03,2.550e+01,1.825e+01,1.233e+03
7.9,1.864e+03,2.228e+01,1.910e+01,1.905e+03
9.4,2.683e+03,2.441e+01,2.141e+01,2.729e+03
11.0,3.503e+03,2.583e+01,1.960e+01,3.548e+03
12.6,4.420e+03,2.350e+01,2.089e+01,4.465e+03
14.1,5.756e+03,2.341e+01,1.856e+01,5.798e+03
15.7,7.579e+03,2.465e+01,1.794e+01,7.622e+03
17.3,1.048e+04,2.893e+01,1.915e+01,1.053e+04
18.8,1.410e+04,3.565e+01,2.071e+01,1.415e+04
20.4,1.683e+04,4.425e+01,2.017e+01,1.690e+04
22.0,1.912e+04,5.041e+01,2.117e+01,1.919e+04
23.6,2.180e+04,6.003e+01,2.240e+01,2.188e+04
25.1,2.470e+04,6.812e+01,2.003e+01,2.479e+04
26.7,2.733e+04,7.266e+01,1.945e+01,2.742e+04
28.3,3.259e+04,1.002e+02,2.004e+01,3.271e+04
29.8,4.308e+04,1.665e+02,2.186e+01,4.327e+04
31.4,5.177e+04,1.899e+02,2.169e+01,5.198e+04
33.0,5.978e+04,1.871e+02,2.279e+01,5.999e+04
34.5,7.025e+04,1.905e+02,3.993e+01,7.048e+04
36.1,8.737e+04,2.152e+02,6.857e+01,8.765e+04
37.7,1.070e+05,2.437e+02,1.063e+02,1.074e+05
39.3,1.236e+05,4.602e+02,1.949e+02,1.242e+05
40.8,1.402e+05,1.110e+03,2.512e+02,1.415e+05
42.4,1.784e+05,3.146e+03,3.341e+02,1.819e+05
44.0,2.463e+05,7.655e+03,8.279e+02,2.548e+05
45.5,3.172e+05,1.181e+04,1.991e+03,3.310e+05
47.1,3.668e+05,1.181e+04,3.363e+03,3.820e+05
48.7,4.490e+05,7.823e+03,4.296e+03,4.612e+05
50.2,6.716e+05,4.984e+03,5.599e+03,6.822e+05
51.8,1.042e+06,5.364e+03,7.956e+03,1.056e+06
53.4,1.454e+06,8.430e+03,9.396e+03,1.472e+06
55.0,1.817e+06,1.253e+04,1.115e+04,1.840e+06
56.5,1.819e+06,1.426e+04,1.335e+04,1.847e+06
58.1,1.574e+06,1.301e+04,1.577e+04,1.603e+06
59.7,1.258e+06,1.079e+04,1.616e+04,1.285e+06
61.2,9.378e+05,8.636e+03,1.315e+04,9.596e+05
62.8,6.737e+05,7.350e+03,8.768e+03,6.898e+05
64.4,5.038e+05,6.706e+03,5.056e+03,5.156e+05
65.9,4.020e+05,6.444e+03,3.406e+03,4.118e+05
67.5,3.371e+05,6.460e+03,3.353e+03,3.469e+05
69.1,2.818e+05,6.314e+03,3.425e+03,2.916e+05
70.7,2.192e+05,5.325e+03,2.957e+03,2.275e+05
72.2,1.444e+05,3.972e+03,3.000e+03,1.514e+05
73.8,9.098e+04,3.267e+03,3.034e+03,9.728e+04
75.4,5.625e+04,2.847e+03,2.944e+03,6.204e+04
76.9,3.280e+04,2.225e+03,2.667e+03,3.769e+04
78.5,2.075e+04,1.756e+03,2.106e+03,2.461e+04
80.1,2.086e+04,1.506e+03,1.386e+03,2.375e+04
81.6,1.903e+04,1.671e+03,1.110e+03,2.181e+04
83.2,1.394e+04,2.151e+03,1.033e+03,1.712e+04
84.8,2.168e+04,2.946e+03,8.577e+02,2.548e+04
