freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.968e+01,9.348e+02,1.264e+02,1.091e+03
1.5,3.804e+01,5.272e+02,9.023e+01,6.554e+02
3.0,2.784e+01,2.730e+01,2.292e+01,7.805e+01
4.5,2.654e+01,3.227e+02,1.994e+01,3.692e+02
6.0,2.642e+01,1.109e+03,2.702e+01,1.162e+03
7.5,2.718e+01,1.806e+03,3.176e+01,1.865e+03
9.1,2.577e+01,2.803e+03,2.901e+01,2.858e+03
10.6,2.590e+01,4.082e+03,2.755e+01,4.135e+03
12.1,2.828e+01,5.670e+03,3.202e+01,5.730e+03
13.6,3.095e+01,7.629e+03,3.447e+01,7.694e+03
15.1,3.615e+01,1.004e+04,3.764e+01,1.012e+04
16.6,3.848e+01,1.270e+04,4.842e+01,1.279e+04
18.1,3.969e+01,1.616e+04,6.281e+01,1.626e+04
19.6,3.743e+01,2.074e+04,8.572e+01,2.086e+04
21.1,4.314e+01,2.648e+04,1.051e+02,2.663e+04
22.6,7.294e+01,3.544e+04,1.434e+02,3.565e+04
24.2,1.085e+02,4.669e+04,2.403e+02,4.704e+04
25.7,1.630e+02,5.769e+04,3.579e+02,5.821e+04
27.2,2.318e+02,7.476e+04,5.614e+02,7.555e+04
28.7,3.014e+02,1.018e+05,8.714e+02,1.030e+05
30.2,3.882e+02,1.471e+05,1.523e+03,1.490e+05
31.7,5.095e+02,2.276e+05,3.164e+03,2.313e+05
33.2,7.063e+02,3.951e+05,7.897e+03,4.037e+05
34.7,1.205e+03,8.345e+05,2.390e+04,8.596e+05
36.2,2.745e+03,2.043e+06,7.784e+04,2.123e+06
37.7,4.555e+03,3.235e+06,1.503e+05,3.389e+06
39.3,5.023e+03,2.883e+06,1.636e+05,3.052e+06
40.8,5.018e+03,1.997e+06,1.429e+05,2.145e+06
42.3,5.275e+03,1.303e+06,1.202e+05,1.429e+06
43.8,5.909e+03,8.690e+05,1.109e+05,9.857e+05
45.3,7.080e+03,6.510e+05,1.259e+05,7.839e+05
46.8,8.637e+03,5.164e+05,1.508e+05,6.759e+05
48.3,1.056e+04,3.904e+05,1.811e+05,5.821e+05
49.8,1.162e+04,2.820e+05,2.242e+05,5.178e+05
51.3,1.198e+04,2.222e+05,3.516e+05,5.857e+05
52.8,1.257e+04,2.049e+05,5.875e+05,8.050e+05
54.4,1.394e+04,1.963e+05,6.270e+05,8.373e+05
55.9,1.687e+04,1.709e+05,4.324e+05,6.201e+05
57.4,2.291e+04,1.540e+05,2.369e+05,4.138e+05
58.9,3.162e+04,1.505e+05,1.364e+05,3.186e+05
60.4,4.580e+04,1.562e+05,9.582e+04,2.978e+05
61.9,6.658e+04,1.633e+05,6.986e+04,2.998e+05
63.4,9.278e+04,1.684e+05,4.351e+04,3.047e+05
64.9,1.163e+05,1.703e+05,2.120e+04,3.078e+05
66.4,1.310e+05,1.753e+05,8.245e+03,3.145e+05
67.9,1.434e+05,1.907e+05,2.607e+03,3.367e+05
69.5,1.555e+05,2.252e+05,2.556e+03,3.832e+05
71.0,1.347e+05,2.702e+05,7.875e+03,4.127e+05
72.5,1.021e+05,2.811e+05,1.151e+04,3.947e+05
74.0,7.361e+04,2.864e+05,1.021e+04,3.702e+05
75.5,4.313e+04,2.388e+05,6.089e+03,2.880e+05
77.0,2.337e+04,1.450e+05,2.873e+03,1.712e+05
78.5,1.638e+04,8.413e+04,2.013e+03,1.025e+05
80.0,9.257e+03,5.056e+04,1.990e+03,6.181e+04
81.5,3.958e+03,3.102e+04,1.901e+03,3.688e+04
83.0,2.536e+03,1.895e+04,1.895e+03,2.338e+04
84.6,2.048e+03,1.095e+04,1.637e+03,1.464e+04
86.1,2.375e+03,6.028e+03,1.232e+03,9.635e+03
87.6,3.875e+03,4.203e+03,1.432e+03,9.510e+03
89.1,4.949e+03,2.938e+03,1.708e+03,9.594e+03
90.6,7.989e+03,2.371e+03,2.295e+03,1.265e+04
92.1,1.240e+04,1.648e+03,3.444e+03,1.750e+04
93.6,1.489e+04,2.027e+03,5.445e+03,2.236e+04
95.1,1.388e+04,2.040e+03,6.723e+03,2.264e+04
96.6,1.155e+04,1.692e+03,6.657e+03,1.990e+04
98.1,8.329e+03,1.904e+03,5.811e+03,1.604e+04
99.7,5.425e+03,2.002e+03,5.491e+03,1.292e+04
101.2,4.271e+03,1.711e+03,5.838e+03,1.182e+04
102.7,4.010e+03,1.879e+03,5.195e+03,1.108e+04
104.2,3.342e+03,1.640e+03,4.697e+03,9.679e+03
105.7,3.173e+03,1.227e+03,5.803e+03,1.020e+04
107.2,3.740e+03,1.519e+03,9.451e+03,1.471e+04
108.7,4.217e+03,3.981e+03,1.201e+04,2.021e+04
110.2,4.482e+03,7.062e+03,1.090e+04,2.244e+04
111.7,4.558e+03,8.917e+03,8.300e+03,2.178e+04
113.2,4.036e+03,9.468e+03,5.762e+03,1.927e+04
114.8,2.822e+03,9.449e+03,3.920e+03,1.619e+04
116.3,2.099e+03,1.010e+04,3.498e+03,1.570e+04
117.8,1.798e+03,1.006e+04,3.886e+03,1.574e+04
119.3,1.578e+03,8.794e+03,4.719e+03,1.509e+04
120.8,1.486e+03,8.070e+03,5.364e+03,1.492e+04
122.3,1.661e+03,8.078e+03,5.255e+03,1.499e+04
123.8,2.332e+03,9.204e+03,4.916e+03,1.645e+04
125.3,3.659e+03,1.125e+04,4.615e+03,1.953e+04
126.8,5.620e+03,1.362e+04,4.418e+03,2.366e+04
128.3,9.270e+03,1.784e+04,4.239e+03,3.135e+04
129.9,1.295e+04,2.167e+04,4.060e+03,3.869e+04
131.4,1.597e+04,2.438e+04,3.907e+03,4.425e+04
132.9,1.888e+04,2.331e+04,2.431e+03,4.462e+04
134.4,2.037e+04,1.993e+04,6.861e+02,4.098e+04
135.9,2.250e+04,2.085e+04,5.111e+02,4.386e+04
137.4,2.261e+04,1.994e+04,5.061e+02,4.306e+04
138.9,1.932e+04,1.627e+04,5.014e+02,3.609e+04
140.4,1.529e+04,1.224e+04,4.781e+02,2.801e+04
141.9,1.120e+04,8.249e+03,4.635e+02,1.992e+04
143.4,8.065e+03,5.226e+03,4.897e+02,1.378e+04
145.0,6.196e+03,3.549e+03,5.556e+02,1.030e+04
146.5,5.734e+03,3.231e+03,5.319e+02,9.497e+03
148.0,5.048e+03,2.614e+03,4.541e+02,8.116e+03
149.5,4.050e+03,1.805e+03,5.078e+02,6.362e+03
151.0,3.414e+03,1.355e+03,5.540e+02,5.322e+03
152.5,3.131e+03,1.163e+03,5.199e+02,4.814e+03
154.0,2.852e+03,9.744e+02,4.858e+02,4.312e+03
155.5,2.531e+03,7.921e+02,3.780e+02,3.701e+03
157.0,2.183e+03,5.970e+02,3.207e+02,3.100e+03
158.5,1.761e+03,4.210e+02,2.326e+02,2.415e+03
160.1,1.324e+03,2.867e+02,1.282e+02,1.739e+03
161.6,1.338e+03,3.083e+02,9.779e+01,1.744e+03
163.1,1.582e+03,3.479e+02,9.497e+01,2.025e+03
164.6,1.503e+03,3.486e+02,8.646e+01,1.938e+03
166.1,1.437e+03,3.422e+02,8.865e+01,1.867e+03
167.6,1.400e+03,3.194e+02,9.252e+01,1.811e+03
169.1,1.400e+03,2.513e+02,1.004e+02,1.751e+03
170.6,1.399e+03,1.963e+02,1.515e+02,1.747e+03
172.1,1.490e+03,1.843e+02,2.153e+02,1.889e+03
173.6,1.451e+03,2.054e+02,2.595e+02,1.916e+03
175.2,1.311e+03,2.282e+02,3.215e+02,1.861e+03
176.7,1.224e+03,2.540e+02,3.706e+02,1.849e+03
178.2,1.188e+03,2.894e+02,4.076e+02,1.885e+03
179.7,1.237e+03,3.234e+02,4.439e+02,2.005e+03
181.2,1.303e+03,3.475e+02,4.331e+02,2.084e+03
182.7,1.330e+03,3.836e+02,4.289e+02,2.142e+03
184.2,1.338e+03,3.977e+02,4.449e+02,2.181e+03
185.7,1.455e+03,3.851e+02,4.947e+02,2.334e+03
187.2,1.746e+03,4.223e+02,6.935e+02,2.862e+03
188.7,2.195e+03,5.698e+02,1.126e+03,3.891e+03
190.3,2.579e+03,8.307e+02,1.727e+03,5.136e+03
191.8,2.854e+03,1.276e+03,2.585e+03,6.715e+03
193.3,3.135e+03,1.794e+03,3.361e+03,8.291e+03
194.8,3.291e+03,2.205e+03,3.786e+03,9.281e+03
196.3,3.437e+03,2.435e+03,3.984e+03,9.856e+03
197.8,3.483e+03,2.664e+03,4.228e+03,1.037e+04
199.3,3.320e+03,2.862e+03,4.328e+03,1.051e+04
